,0
9,"¿Hasta qué punto el FMI incorporó cierta perspectiva de género? ¿Cómo afectan las políticas impulsadas por el FMI a las mujeres?

🐖Miralo en el documental #FMIyDDHH, en el que participa, entre otrxs, Corina Rodríguez Enríquez.

👀https://t.co/Hjlbd8qISa https://t.co/eSBcBKfVhh"
10,"Noemí Brenta (*) 

Sobre los 21 acuerdos Argentina-FMI 

""Dada la mala experiencia histórica de la Argentina bajo programas del FMI y que el organismo solo cambió superficialmente, continúa con sus prácticas e ideología habituales, y constituye un instrumento de la política"
11,"@revisbarcelona creo q es mejor el secreto de Nestor Kirchner para pagarle al FMI: tomar un credito en US$ al 15% anual con Chavez p/pagarle al FMI un credito q nos costaba 4% anual, todo para generar el ""le pagamos al fondo"" costandole a la Argentina...
400% MAS... ESO SI Q ES AMAR AL PAIS"
12,Las consecuencias que podría tener que atravesar Argentina si no pagase el vencimiento de deuda con el FMI | Economía https://t.co/w5bE8jJIej
13,"@SergioChouza @Maxiferraro No es muy sutil el tweet...De hecho, NK pagó por adelantado 10 mil millones al FMI (que cobraba 4% de interés), y se endeudó al 12% por la misma suma... De paso,la deuda con el FMI representa sólo el 14% de la deuda total argentina"
14,@alfredocornejo @alferdez @CFKArgentina Y ustedes de haber endeudado a la Argentina .recuerden que cuando subieron el FMI ya no estaba .Memoria por favor
15,“Alberto Fernández reconoció junto a su jefe de Gabinete que no hay ningún acuerdo en las negociaciones.” https://t.co/wUUBAiGHB4 #Argentina 🔵🇦🇷 por @marceloduclos
16,FMI: un instrumento de la política hemisférica de estados unidos. Un repaso a los 21 acuerdos de Argentina con el Fondo. Por Noemí Brenta https://t.co/jt2LhIAyqu https://t.co/CCKvo8kXJP
17,"@jjmucci1 @mikefink22 @pela_mendz @EditGiraudo Será una realidad que no entendés y no ves ,estamos entre los 5 países que más vacuno,por ende entre los mejores q manejo la pandemia? Gorila resentido,querían que se vaya todo a la mierda y al final la Argentina está creciendo mes que con Macri sin pandemia y con los USD del FMI"
18,"Dólar default: así cotizará en tres meses, según un economista de la City si no se acuerda con el FMI
 
""Si el acuerdo con el Fondo se cae y la Argentina entra en default, yo te digo que en tres meses el dólar lo ves en $ 260"".
 https://t.co/4Eyoo3W2KE"
19,"El drama del pago al FMI, si se cumple con las obligaciones del Estado, practicamente no quedaran reservas en el Banco Central, si no se lo hace y se proiriza las reales necesidades de la Argentina, nuestro pais tendra serios problemas economicos ante el mundo..que hacer?🙄"
20,@alfredocornejo @alferdez @CFKArgentina Pero que Hdp tenes que ser para responsabilizar por un hipotético NO acuerdo con el FMI a un gobierno que esta tratando de arreglar el mayor desfalco de la historia Argentina llevdo a cabo por el caco internacional Muricio Macri
21,"Cronista
Inflación, brecha del dólar y caída de salarios ponen en riesgo al consumo: las cifras que encienden luces amarillas
https://t.co/cqUkgYKunp
#dolares #DolarParalelo #Euro #DolarBlue #Dinero #tipodecambio #DolarEuro #Argentina #cambio https://t.co/2gOqSXVeNh"
